Company,Address,BBBRating,Phone,BusinessStarted,NumberEmployees,BusinessCategories
Golden Paws Pet Grooming,"395 Lowell St, Lexington, MA 02420-2501",A+,(781) 274-9144,11/24/2004,6,"Pet Grooming, Pet Boarding, Pet Transport, Pet Exercise"
Happy Hounds,"312 Salem Street, Medford, MA 02155-3312",,(781) 393-5877,1/1/1994,1,"Pet Grooming, Pet Sitting, Pet Transport"
Priceless Pet Care,"70 Parkhurst Drive, Westford, MA 01886-3029",A+,(978) 244-5640,1/1/2004,2,"Pet Sitting, Pet Grooming, Pet Transport"
Ocean View Kennel,"705 North Shore Road, Revere, MA 02151-4734",A+,(781) 284-7800,1/1/2005,2,"Dog Boarding, Pet Grooming, Animal Rescue, Pet Transport, Pet Day Care"
Critter Visits,"PO Box 9, Medway, MA 02053-0009",A+,(508) 922-6706,3/1/2002,10,"Pet Grooming, Pet Boarding, Dog Training, Dog Boarding, Pet Sitting, Pet Services, Pet Transport, Pet Waste Removal, Pet Training, Find A Pet, Pet Exercise, Service Dogs, Service Animal Training, Dog Shock Collars"
Critter Visits,"70 Blackstone Street, Bellingham, MA 02019-1602",A+,(508) 922-6706,3/1/2002,10,"Pet Grooming, Pet Boarding, Dog Training, Dog Boarding, Pet Sitting, Pet Services, Pet Transport, Pet Waste Removal, Pet Training, Find A Pet, Pet Exercise, Service Dogs, Service Animal Training, Dog Shock Collars"
Happy Paws Day Care,"PO Box 922, Castleton, VT 05735-0922",A+,(802) 468-3033,1/1/2006,4,"Dog Daycare, Pet Grooming, Dog Boarding, Pet Supplies, Pet Transport, Pet Exercise"
"Personal Comforts Pet Care, LLC","136 Barton Road, Stow, MA 01775-1527",A+,(978) 310-7456,2/15/2000,1,"Pet Grooming, Pet Boarding, Pet Sitting, Pet Transport, Pet Exercise"
Creature Comforts Animal Care,"110 Marshall Avenue, Lowell, MA 01851-4832",A+,(978) 828-8410,1/1/2002,1,"Pet Sitting, Pet Grooming, Pet Transport, Pet Exercise"
ABC Taxi,"11 Central St, Acton, MA 01720-3520",,(978) 264-9041,1/1/1986,1,"Delivery Service, Limo Service, Pet Transport"
Safe Pet Transport Services,"2213 Pine St # 101, Philadelphia, PA 19103-6515",,(267) 603-8742,,,Pet Transport
world wide pet transport,"9113 ave college park, baltimore, MD 20740",,(914) 352-0094,,,Pet Transport
Pet Authority,"4588 West Walton Boulevard, Waterford, MI 48329-4077",A+,(248) 673-1288,12/8/1999,,"Pet Transport, Pet Grooming"
Pet Suite Retreat LLC,"26245 Michigan Ave, Inkster, MI 48141",A+,(313) 277-6805,9/1/2000,,Pet Transport
"The Barking Lot, Inc.","2442 W Irving Park Rd, Chicago, IL 60618-3714",,(847) 205-3647,9/1/2002,,"Pet Store, Pet Grooming, Pet Boarding, Dog Boarding, Pet Supplies, Pet Sitting, Pet Transport, Pet Training, Pet Day Care, Pet Insurance, Pet Exercise"
"Brandys Pet Care, Inc.","859 Sioux Dr, Elgin, IL 60120-2350",A+,(847) 287-9963,4/26/2005,,"Pet Sitting, Pet Transport"
Jenn'z Grrrz-N-Purrz Pet Care,"1510 Briarwood Drive, Clarksville, IN 47129",A+,(502) 533-5512,2/12/2014,,"Pet Sitting, Pet Services, Pet Transport, Pet Exercise"
A+ Pet Pals LLC,"433 Regent drive, Buffalo Grove, IL 60089-3228",A+,(847) 409-3373,8/1/1995,,"Pet Exercise, Dog Boarding, Pet Sitting, Pet Transport, Pet Day Care"
Olde Towne Pet Resort LLC - Dulles,"21460 Squire Ct, Sterling, VA 20166-8935",A+,(571) 434-3300,12/19/2000,,"Dog Boarding, Pet Grooming, Pet Transport, Pet Day Care"
"Lovin Pets, LLC","1165 Klaus St, Green Bay, WI 54302-1550",A+,(920) 435-5683,3/27/2006,,"Pet Sitting, Pet Transport, Pet Exercise"
Chicago Pet Transport,"812 W Van Buren St, Chicago, IL 60607-3500",,(312) 256-4474,1/1/2008,,"Pet Transport, Pet Services"
"With Dignity, Inc.","21345 W York Ct, Lake Zurich, IL 60047-8519",,(847) 726-0600,8/26/2002,,"Pet Cemetery, Cremation, Pet Services, Pet Transport"
A Friendly Face Pet Sitting,"6195 Oakdale Lane, Macclenny, FL 32063",A+,(904) 233-3613,11/1/2006,,"Pet Boarding, Pet Transport"
Friendly Pet Taxi,"2336 Honolulu Ct., Jacksonville, FL 32246",A+,(904) 210-9096,11/1/2004,,"Pet Transport, Pet Boarding"
Mandarin Pet Care,"10710 Clydesdale Dr W, Jacksonville, FL 32257-1204",A+,(904) 268-9788,1/1/1985,,"Pet Boarding, Dog Boarding, Pet Sitting, Pet Transport, Pet Training, Pet Exercise"
Loews Cineplex Entertainment,"711 5th Avenue, New York, NY 10022",,,,,Pet Transport
Fly Pet Relocators,"36th Church Street, Bronx, NY 10456",,(301) 375-5303,,,Pet Transport
Rex transporters,"i dont have one, New York, NY 10001",,(202) 239-1162,,,Pet Transport
Country Pet Lodge & Salon,"2750 Egg Harbor Rd, Lindenwold, NJ 08021-1437",,(856) 784-4559,7/5/1990,,"Pet Boarding, Pet Grooming, Dog Boarding, Pet Supplies, Pet Kennels, Dog Daycare, Pet Transport, Pet Day Care"
Nationwide Pets Transport Services,"Corporate Office,103 Jefferson Circle, Camden, NJ 08103",,(237) 967-4460,,,Pet Transport
Pet Transit,"1432 Cooper Ave, Pittsburgh, PA 15212",A+,(412) 576-8369,1/1/2012,,Pet Transport
Kings Cages LP,"145 Sherwood Avenue, Farmingdale, NY 11735",,(866) 777-7303,,,Pet Transport
PetSafe LLC,"622 Pelhamdale Road, Pelham Manor, NY 10803",F,(888) 527-9700,,,Pet Transport
GoDoggy Pet Transport,"9375 E. Shea Blvd Ste 100 #300, Scottsdale, AZ 85260",A+,(844) 463-6449,8/5/2015,,"Pet Services, Pet Sitting, Pet Transport, Pet Day Care, Pet Exercise"
"Buddy's Doggie Daycare, Inc.","39 Miller St, Norfolk, MA 02056-1258",A+,(508) 346-3952,8/16/2013,5,"Dog Daycare, Pet Grooming, Dog Training, Dog Boarding, Pet Kennels, Pet Transport, Pet Exercise"
Domestic Pet Travel,"606 Columbia St NW Ste 300, Olympia, WA 98501",F,(360) 836-0209,,,
"Deer Valley Pet Services, LLC","West Valley, Glendale, AZ 85308",A+,(480) 392-5283,4/27/2016,,"Pet Services, Dog Training, Pet Sitting, Dog Daycare, Pet Transport, Pet Waste Removal, Pet Training, Pet Day Care, Equestrian Services, Pet Exercise"
Fly Pet International,"6300 Pewter Ave, N Chesterfld, VA 23224-5618",F,(703) 662-4445,,,
Fly Pet International,"1102 Woodlands Rd, Charlottesvle, VA 22901",F,(740) 204-5551,,,
Fly Pet International,"200 Virginia Ave, Richmond, VA 23226-1733",F,(915) 267-0569,,,
Lake Area Animal Hospital,"8762 State Road 21, Melrose, FL 32666",A+,(352) 475-2326,9/13/2013,,"Veterinarian, Pet Grooming, Pet Boarding, Dog Training, Dog Boarding, Pet Supplies, Animal Hospitals, Pet Kennels, Pet Services, Dog Daycare, Pet Transport, Pet Day Care, Emergency Vet, Equestrian Services, Animal Health Products, Pet Insurance"
Dogs Deserve It,"1341 W Fullerton Ave Ste 270, Chicago, IL 60614-2362",A+,(773) 573-8216,5/26/2009,,"Pet Exercise, Dog Training, Pet Sitting, Pet Services, Pet Transport, Pet Day Care, Pet Photographer"
Premier Pet Voyage,"9201 Patterson Ave, Richmond, VA 23229",,(804) 684-1738,,,Pet Transport
Sam Yorkies,"6455 Zane Ave N, Minneapolis, MN 55429-4120",,(763) 452-9934,9/16/2016,,Pet Transport
Tails & Trails Inc,"Portland, OR 97205-1418",A+,(503) 505-1262,3/12/2014,,"Pet Exercise, Pet Grooming, Dog Boarding, Pet Sitting, Pet Transport, Pet Day Care"
Bellevue Pet Sitters LLC,"16519 NE 16th Pl, Bellevue, WA 98008-2920",A+,(425) 738-1176,6/27/2013,1,"Pet Sitting, Pet Services, Pet Transport, Pet Exercise"
U.S. LIVE EXPRESS,"ASHLAND, VA 23005",A,(716) 288-2299,,,Pet Transport
Cozy Critters Animal Care,"610 Frayne Place, Yakima, WA 98901-8063",A+,(509) 249-5588,10/1/1999,2,"Pet Sitting, Pet Transport, Pet Waste Removal, Pet Exercise"
Pet-Pals Pet Services,"PO Box 9515, Spokane, WA 99209-9515",A+,(509) 328-3520,4/3/2006,,"Pet Sitting, Pet Services, Pet Transport, Pet Waste Removal, Pet Exercise"
Pets On Board Transport LLC,"502 Meadowlark Ln, Oldtown, ID 83822-9240",A+,(888) 914-7387,5/1/2001,,"Pet Transport, Pet Boarding, Pet Training"
And While You're Away,"Grass Valley, CA 95945-7541",A+,(530) 613-7387,1/10/2002,,"Pet Services, Pet Sitting, Pet Transport, Pet Waste Removal"
Claws for the Cause,"2100 112th St S J7, Tacoma, WA 98444-1582",A+,(206) 331-5149,9/15/2009,,"Pet Sitting, Dog Training, Dog Boarding, Pet Services, Pet Transport, Pet Training, Pet Day Care, Pet Exercise"
World Wide Animal transport,"Mercantile Ln Ste 217, Upper Marlboro, MD 20774",,(240) 326-3802,,,Pet Transport
Roll Over Rover - So. Portland,"87 Margaret Street, S Portland, ME 04106-2054",A+,(206) 234-7583,12/25/2011,1,"Pet Exercise, Pet Sitting, Pet Services, Pet Transport"
Roll Over Rover - So. Portland,"56 Washington Avenue, S Portland, ME 04106-6728",A+,(206) 234-7583,12/25/2011,1,"Pet Exercise, Pet Sitting, Pet Services, Pet Transport"
Career Pets Delivery Services,"5701 Pony Farm Drive, Richmond, VA 23228",,(540) 300-3489,,,Pet Transport
Power Line Kennels,"44420 SE Coalman Rd, Sandy, OR 97055-6740",,(503) 668-3212,1/1/1976,,"Pet Boarding, Pet Grooming, Pet Transport"
Q Incorporated,"25103 112th St E, Buckley, WA 98321-9253",,(253) 862-9454,6/1/1972,,"Pet Transport, Pet Boarding"
Animal Port Houston,"P.O. Box 60564 AMF, Houston, TX 77205",,(281) 821-2244,,,Pet Transport
Mail Pet Express Travel Agency,"Santa Fe, NM 87505",F,(240) 249-2611,,,Pet Transport
Domesticated Partners Pet Care,"PO Box 377, Pacifica, CA 94044-0377",A+,(650) 455-1524,3/1/2004,1,"Pet Sitting, Pet Transport"
LegUp Dog Walking,"PO Box 151663, San Rafael, CA 94915-1663",A+,(415) 482-8962,8/1/2003,5,"Pet Exercise, Pet Sitting, Pet Transport, Pet Training, Pet Day Care"
Hugs from Hannah Petsitting LLC,"Peoria, AZ 85345-0731",A+,(623) 606-5633,10/21/2007,,"Pet Sitting, Pet Transport, Pet Exercise"
International Pet Carriers,"Phoenix, AZ 85001-0301",,(480) 639-0060,1/1/1990,,"Find A Pet, Pet Services, Pet Transport"
Pets Air Movers,"125 4th Street, Phoenix, AZ 85004",,(480) 525-2906,,,"Pet Transport, Dog Boarding, Find A Pet"
International Pet Carriers,"Not available, Houston, TX 77063",,,,,Pet Transport
Total Dog,"4400 N Scottsdale Rd Ste 9360, Scottsdale, AZ 85251-3331",A+,(602) 828-2515,1/12/2010,,"Pet Training, Dog Training, Dog Boarding, Pet Supplies, Pet Services, Pet Transport, Pet Day Care, Pet Exercise, Service Animal Training"
Jill Hogan's Pet Sitting,"5836 E Acoma Dr, Scottsdale, AZ 85254-2414",A+,(480) 234-7073,2/1/2008,,"Pet Exercise, Pet Sitting, Pet Services, Pet Transport, Pet Waste Removal, House Sitting"
Genuine Pet Conveyor,"104 Nelson Avenue, Danville, VA 24540",F,(531) 333-2671,3/23/2017,,
Patrick's Pet Care,"1380 Monroe St NW P.o. Box 103, Washington, DC 20010-3452",A+,(202) 630-7387,6/9/2012,,"Dog Daycare, Pet Boarding, Dog Training, Pet Sitting, Pet Services, Pet Transport, Pet Day Care"
Patrick's Pet Care,"3303 11th St NW, Washington, DC 20010-2405",A+,(202) 630-7387,6/9/2012,,"Dog Daycare, Pet Boarding, Dog Training, Pet Sitting, Pet Services, Pet Transport, Pet Day Care"
Primarily Primates,"26099 Dull Knife Trl, San Antonio, TX 78255-3420",,(830) 755-4616,,,
Cosmas Pet Delivery,"6227 NE 112th Ave, Portland, OR 97220",F,(503) 395-7162,,,
Express Pets Carrier Services,"12240 Water Elm Ln, Fairfax, VA 22030-9070",,(703) 634-6741,,,Pet Transport
ATOH Pet Transportation Company,"2290 Dabney Rd, Richmond, VA 23230-3344",F,(240) 245-7716,,,
Dior's Family Bulldogs,"402 N 23rd St, Richmond, VA 23223",F,(540) 402-4863,,,
Cindy's Concierge Services LLC,"Mesa, AZ 85213-4133",A+,(480) 221-9253,1/31/2016,,"Home Management, Transportation, Professional Organizer, Personal Organizer, Garage Organizers, Pet Transport, Personal Services, Concierge Service, Packing Service, Senior Move Manager, Home Consultant"
Charming Toy Poodle Puppies,"unknown, Richmond, VA 23218",,,,,Pet Transport
Happy Beagle Puppies Home,"7701 Duncaster Rd, Richmond, VA 23225-1419",,(240) 206-1542,,,Pet Transport
Deluxe Pet Voyage,"4906 Augusta Ave, Richmond, VA 23230",,(804) 372-7382,,,Pet Transport
Sharon's Pampered Pets,"Cleveland, OH 44145-2009",A+,(216) 799-5151,1/1/2004,,Pet Transport
